"text","labels"
"(C:\\Windows\\System32\\ping.exe ping 10.0.0.12)","16"
"(C:\\Windows\\System32\\ping.exe ping server01.domain.local)","16"
"(C:\\Tools\\PsExec.exe PsExec.exe \\\\10.10.10.2 hostname)","16"
"(C:\\Tools\\PsExec.exe PsExec.exe \\\\MACHINE-B2 ipconfig)","16"
"(C:\\Tools\\PsExec.exe PsExec.exe \\\\SRV-FILE01 whoami)","16"
"(C:\\Windows\\System32\\ping.exe ping -n 2 172.16.0.33)","16"
"(C:\\Windows\\System32\\net.exe net config workstation)","2"
"(C:\\Windows\\System32\\net.exe net view \\\\192.168.88.1)","38"
"(C:\\Windows\\System32\\net.exe net view /domain)","38"
"(C:\\Windows\\System32\\net1.exe net1 view)","38"
"(C:\Windows\System32\services.exe) -> (C:\Windows\System32\cscript.exe "C:\Scripts\rotate_logs.vbs" /nologo)","18"
"(C:\Windows\System32\taskeng.exe) -> (C:\Windows\System32\cscript.exe "C:\Temp\daily_check.vbs")","18"
"(C:\Program Files\AppHost\AppHostSvc.exe) -> (C:\Windows\System32\cscript.exe /B "C:\ProgramData\maintenance.vbs")","18"
"(C:\Program Files\MyApp\agent.exe) -> (C:\Windows\System32\cscript.exe "C:\Users\Public\scripts\agent_util.vbs")","18"
"(C:\Windows\System32\winlogon.exe) -> (C:\Windows\System32\cscript.exe /nologo "C:\Startup\welcome.vbs")","18"
"(C:\Program Files (x86)\Updater\updater.exe) -> (C:\Windows\System32\cscript.exe "C:\Updater\check_version.vbs")","18"
"(C:\Program Files\Sysmon\sysmon.exe) -> (C:\Windows\System32\cscript.exe "C:\Scripts\log_audit.vbs")","18"
"(C:\Program Files\Antivirus\agent.exe) -> (C:\Windows\System32\cscript.exe /nologo "C:\AV\scan_helper.vbs")","18"
"(C:\Windows\System32\cmd.exe) -> (C:\Windows\System32\cscript.exe "D:\autorun\launch_helper.vbs")","18"
"(C:\Windows\System32\conhost.exe) -> (C:\Windows\System32\cscript.exe /B "C:\Tools\silent_run.vbs")","18"
"(C:\Windows\System32\mmc.exe "C:\Windows\System32\eventvwr.msc")","17"
"(C:\Windows\explorer.exe) -> (C:\Windows\System32\mmc.exe "C:\Windows\System32\perfmon.msc")","17"
"(C:\Windows\System32\cmd.exe) -> (C:\Windows\System32\mmc.exe "C:\Windows\System32\compmgmt.msc")","17"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command Start-Process mmc -ArgumentList 'services.msc')","17"
"(C:\Windows\System32\mmc.exe "C:\Windows\System32\devmgmt.msc")","17"
"(C:\Windows\System32\mmc.exe "C:\Windows\System32\diskmgmt.msc")","17"
"(C:\Windows\System32\mmc.exe "C:\Windows\System32\printmanagement.msc")","17"
"(C:\Windows\System32\mmc.exe "C:\Windows\System32\tpm.msc")","17"
"(C:\Windows\System32\mmc.exe "C:\Windows\System32\secpol.msc")","17"
"(C:\Windows\System32\mmc.exe "C:\Windows\System32\services.msc")","17"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command "Get-Date")","7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command "$env:USERNAME")","7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command "Get-ChildItem C:\Windows\Temp")","7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command "Get-Service | Where-Object {$_.Status -eq 'Running'}")","7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command "Get-Process | Sort-Object CPU -Descending")","7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass -Command "Get-Random -Minimum 1 -Maximum 1000")","7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command "[System.Environment]::OSVersion.Version")","7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command "$PSVersionTable")","7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command "Get-Help Get-Process")","7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command "Measure-Command {1..1000 | % {$_ * $_}}")","7"
"(C:\Windows\System32\tasklist.exe)","3"
"(C:\Windows\System32\cmd.exe /c tasklist > C:\Temp\tasks.txt)","3"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command Get-Process)","3;7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command Get-Process | Out-File -FilePath "C:\Temp\process_list.txt")","3;7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command Get-Process | Where-Object {$_.CPU -gt 100})","3;7"
"(C:\Windows\System32\cmd.exe) -> (C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command Get-Process)","3;7"
"(C:\Windows\explorer.exe) -> (C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command Get-Process -Name svchost)","3;7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command "Invoke-Command -ScriptBlock { Get-Process }")","3;7"
"(C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -ExecutionPolicy Bypass -Command Get-Process | Out-GridView)","3;7"
